,instrument,date,52_week_total_return,price_open,price_close,pe,price_avg,log_returns,decile
1351,AAPL.O,2019-06-27T00:00:00Z,9.32341084567727,50.0725,49.935,17.119847504,50.00375,0.0061685250762006285,7
1350,AAPL.O,2019-06-28T00:00:00Z,8.55550272579793,49.67,49.48,16.9638541,49.575,-0.00861132820992685,3
1349,AAPL.O,2019-07-01T00:00:00Z,9.32397168343848,50.7925,50.3875,17.274983801,50.59,0.02026725389798503,10
1348,AAPL.O,2019-07-02T00:00:00Z,11.9131457851933,50.3525,50.6825,17.376122381,50.5175,-0.0014341173983306622,4
1347,AAPL.O,2019-07-03T00:00:00Z,12.8405570457474,50.82,51.1025,17.520116292,50.96125,0.00874572909994785,8
1346,AAPL.O,2019-07-05T00:00:00Z,10.3120708120367,50.8375,51.0575,17.504688373,50.9475,-0.0002698492540324829,5
1345,AAPL.O,2019-07-08T00:00:00Z,6.55851064239816,50.2025,50.005,17.143846489,50.103750000000005,-0.016699835162353117,2
1344,AAPL.O,2019-07-09T00:00:00Z,7.33799258965262,49.8,50.31,17.248413496,50.055,-0.0009734547176294787,5
1343,AAPL.O,2019-07-10T00:00:00Z,9.82451830159401,50.4625,50.8075,17.418977712,50.635,0.01152063591280119,8
1342,AAPL.O,2019-07-11T00:00:00Z,7.22696387939989,50.8275,50.4375,17.292125933,50.6325,-4.937418225014429e-05,5
1341,AAPL.O,2019-07-12T00:00:00Z,7.88134406657679,50.6125,50.825,17.424977458,50.71875,0.0017020021128664002,6
1340,AAPL.O,2019-07-15T00:00:00Z,9.13445504744304,51.0225,51.3025,17.588684821,51.1625,0.008711177103656716,8
1339,AAPL.O,2019-07-16T00:00:00Z,8.45010656679455,51.1475,51.125,17.527830252,51.136250000000004,-0.0005132027630080617,5
1338,AAPL.O,2019-07-17T00:00:00Z,8.43494764994142,51.0125,50.8375,17.429262991,50.925,-0.004139676942643871,4
1337,AAPL.O,2019-07-18T00:00:00Z,8.82086234276336,51.0,51.415,17.627254619,51.207499999999996,0.005532043579804129,7
1336,AAPL.O,2019-07-19T00:00:00Z,7.44281053591129,51.4475,50.6475,17.364122889,51.0475,-0.003129433877620843,4
1335,AAPL.O,2019-07-22T00:00:00Z,9.80080899199873,50.9125,51.805,17.760963251,51.35875,0.006078749264248323,7
1334,AAPL.O,2019-07-23T00:00:00Z,9.86223172524434,52.115,52.21,17.899814522,52.1625,0.015528524838369927,9
1333,AAPL.O,2019-07-24T00:00:00Z,8.74730888146642,51.9175,52.1675,17.88524371,52.0425,-0.0023031534579945334,4
1332,AAPL.O,2019-07-25T00:00:00Z,8.22628660073845,52.2225,51.755,17.743821118,51.988749999999996,-0.0010333434383004948,5
1331,AAPL.O,2019-07-26T00:00:00Z,10.4394613371993,51.87,51.935,17.805532795,51.9025,-0.0016603904528087645,4
1330,AAPL.O,2019-07-29T00:00:00Z,12.0988650557059,52.115,52.42,17.971811478,52.2675,0.007007804430079276,7
1329,AAPL.O,2019-07-30T00:00:00Z,11.3948129492401,52.19,52.195,17.894671882,52.192499999999995,-0.0014359565936687983,4
1328,AAPL.O,2019-07-31T00:00:00Z,7.34409141886563,54.105,53.26,18.2597993,53.6825,0.028148257454172435,10
1327,AAPL.O,2019-08-01T00:00:00Z,2.03859225594616,53.475,52.1075,18.105643909,52.791250000000005,-0.016741606576930232,2
1326,AAPL.O,2019-08-02T00:00:00Z,-0.408487113201261,51.3825,51.005,17.722561389,51.19375,-0.03072800300044478,1
1325,AAPL.O,2019-08-05T00:00:00Z,-6.10941684757033,49.4975,48.335,16.79482413,48.916250000000005,-0.045507802165520146,1
1324,AAPL.O,2019-08-06T00:00:00Z,-3.4266717520108,49.0775,49.25,17.112756561,49.16375,0.005046911201990244,7
1323,AAPL.O,2019-08-07T00:00:00Z,-2.49253512543398,48.8525,49.76,17.289964802,49.30625,0.0028942845430175823,6
1322,AAPL.O,2019-08-08T00:00:00Z,-1.11960748350543,50.05,50.8575,17.671309986,50.45375,0.023006227196754523,10
